"REF_DATE","GEO","DGUID","Statistic","Household type","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Direct health care costs to household","Dollars","81","units","0","v54530228","1.1.2.27","1125","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Direct health care costs to household","Dollars","81","units","0","v54530228","1.1.2.27","1363","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Direct health care costs to household","Dollars","81","units","0","v54530228","1.1.2.27","1214","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Direct health care costs to household","Dollars","81","units","0","v54530228","1.1.2.27","1371","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Personal care","Dollars","81","units","0","v54530230","1.1.2.29","583","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Personal care","Dollars","81","units","0","v54530230","1.1.2.29","616","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Personal care","Dollars","81","units","0","v54530230","1.1.2.29","646","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Personal care","Dollars","81","units","0","v54530230","1.1.2.29","672","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Personal care","Dollars","81","units","0","v54530230","1.1.2.29","670","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Personal care","Dollars","81","units","0","v54530230","1.1.2.29","812","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Personal care","Dollars","81","units","0","v54530230","1.1.2.29","668","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Personal care","Dollars","81","units","0","v54530230","1.1.2.29","604","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Personal care","Dollars","81","units","0","v54530230","1.1.2.29","780","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Recreation","Dollars","81","units","0","v54530231","1.1.2.30","1954","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Recreation","Dollars","81","units","0","v54530231","1.1.2.30","2109","","","","0"
